,class_ids,img_quantities,hopkins
642,2651371,20,1.0
643,2651411,62,1.0
644,2651423,17,1.0
645,2651482,20,1.0
646,2651495,101,1.0
648,2651522,90,1.0
649,2651528,15,1.0
650,2651529,81,1.0
651,2651567,101,1.0
652,2651569,101,1.0
653,2651575,15,1.0
654,2651583,96,1.0
655,2651586,101,1.0
656,2651595,101,1.0
657,2651600,100,1.0
658,2651605,102,1.0
659,2651606,19,1.0
660,2651608,101,1.0
661,2651611,101,1.0
662,2651615,41,0.71
663,2651617,43,1.0
664,2651621,16,1.0
665,2651622,19,1.0
666,2651629,14,1.0
667,2651652,97,1.0
668,2651656,99,1.0
669,2651660,86,1.0
670,2651661,49,1.0
671,2651663,41,1.0
672,2651667,37,0.79386589873298
673,2651706,92,1.0
674,2651707,97,1.0
675,2651709,30,1.0
676,2651748,68,1.0
677,2651766,43,1.0
678,2651790,98,1.0
679,2651797,11,1.0
681,2651799,47,1.0
682,2651816,101,1.0
686,2651826,101,1.0
687,2651832,101,1.0
688,2651833,102,1.0
689,2651834,101,1.0
690,2651835,100,1.0
691,2651837,79,1.0
692,2651839,88,1.0
693,2651841,15,0.999999999999814
694,2651843,101,1.0
695,2651847,77,1.0
696,2651849,18,1.0
697,2651850,83,1.0
698,2651851,18,1.0
699,2653132,68,1.0
700,2653133,54,1.0
702,2653226,13,1.0
703,2653244,90,1.0
704,2653248,87,1.0
705,2653250,19,1.0
706,2653251,40,1.0
708,2653272,97,1.0
709,2653279,11,0.994726187046026
711,2653291,40,1.0
712,2653294,65,1.0
713,2653301,16,0.999999999999962
714,2653308,45,1.0
715,2653310,52,1.0
716,2653311,85,1.0
717,2653316,43,1.0
718,2653321,105,1.0
720,2653355,90,1.0
722,2653361,85,1.0
723,2653362,94,1.0
724,2653367,63,1.0
725,2653377,10,1.0
726,2653384,28,1.0
729,2653414,101,1.0
730,2653426,10,1.0
731,2653428,31,1.0
732,2653446,60,1.0
733,2653458,99,1.0
734,2653462,100,1.0
735,2683200,101,1.0
736,2683207,18,0.7
737,2683214,39,1.0
739,2683250,14,1.0
740,2683252,99,1.0
743,2683262,11,0.79
744,2683264,46,1.0
745,2683272,20,1.0
746,2683286,10,0.718336305436505
748,2683297,18,1.0
749,2683485,73,1.0
750,2683490,61,1.0
751,2683495,28,1.0
753,2683500,13,1.0
754,2683503,100,1.0
755,2683517,17,0.749854224140922
756,2683520,27,1.0
757,2683525,36,1.0
758,2683533,64,1.0
760,2683544,35,1.0
762,2683548,18,0.976928615135215
764,2683555,63,1.0
765,2683564,54,1.0
766,2683568,95,1.0
767,2683579,21,0.720018519242169
768,2683581,14,1.0
769,2683584,98,1.0
770,2683589,52,1.0
771,2683592,11,1.0
772,2683597,17,0.999999574367825
773,2683608,96,1.0
774,2683625,21,1.0
775,2683628,13,1.0
781,2683652,12,0.999999999999317
784,2683722,63,1.0
786,2683743,20,1.0
788,2683749,10,0.75
790,2683756,20,1.0
791,2683759,60,1.0
792,2683776,43,1.0
793,2683778,20,1.0
794,2683786,19,1.0
795,2683794,69,1.0
796,2683797,18,1.0
797,2683807,27,1.0
799,2683828,17,0.730031248245744
800,2683840,60,1.0
801,2683841,95,1.0
803,2683849,83,1.0
804,2683866,101,1.0
805,2683871,74,1.0
806,2683880,21,0.999999999999179
807,2683884,101,1.0
808,2683894,77,1.0
809,2683909,81,1.0
810,2683936,98,1.0
811,2683946,55,1.0
812,2683969,71,1.0
813,2683995,72,1.0
814,2684001,64,1.0
815,2684012,98,1.0
816,2684026,80,1.0
817,2684030,97,1.0
818,2684046,76,1.0
819,2684070,101,1.0
821,2684096,93,1.0
822,2684102,22,1.0
824,2684120,72,1.0
825,2684169,14,1.0
826,2684171,93,1.0
827,2684174,11,1.0
828,2684178,90,1.0
829,2684184,31,1.0
830,2684191,101,1.0
831,2684192,77,1.0
832,2684235,58,1.0
833,2684243,64,1.0
834,2684261,11,0.950698917857463
835,2684264,28,1.0
836,2684273,75,1.0
837,2684287,68,1.0
838,2684296,22,1.0
839,2684303,56,1.0
841,2684320,92,1.0
842,2684334,91,1.0
843,2684338,80,1.0
844,2684353,77,1.0
845,2684363,56,1.0
846,2684391,101,1.0
847,2684410,100,1.0
848,2684451,101,1.0
849,2684482,23,1.0
850,2684483,83,1.0
851,2684485,48,1.0
852,2684487,74,1.0
853,2684495,15,0.999882403247837
854,2684500,15,1.0
855,2684507,35,1.0
856,2684510,10,1.0
857,2684517,66,1.0
858,2684528,87,1.0
860,2684549,91,1.0
862,2684584,27,1.0
863,2684591,99,1.0
865,2684610,39,1.0
866,2684615,81,1.0
867,2684616,47,1.0
868,2684621,84,1.0
869,2684626,48,1.0
870,2684627,84,1.0
871,2684633,89,1.0
872,2684640,86,1.0
873,2684641,59,1.0
874,2684648,68,1.0
875,2684674,101,1.0
876,2684690,60,1.0
877,2684709,101,1.0
878,2684773,91,1.0
879,2684809,58,1.0
880,2684818,99,1.0
881,2684855,99,1.0
882,2684865,37,1.0
884,2684870,49,1.0
885,2684878,65,1.0
886,2684894,27,1.0
887,2684896,22,1.0
888,2684904,25,1.0
892,2684918,101,1.0
893,2684921,63,1.0
894,2684940,91,1.0
895,2684969,101,1.0
896,2684977,17,1.0
897,2684984,88,1.0
903,2685265,28,1.0
904,2685280,49,1.0
905,2685303,49,1.0
906,2685308,95,1.0
907,2685313,101,1.0
908,2685318,101,1.0
909,2685326,69,1.0
910,2685361,94,1.0
911,2685383,100,1.0
912,2685400,22,1.0
913,2685414,62,1.0
914,2685422,74,1.0
915,2685437,34,1.0
916,2685464,88,1.0
918,2685479,59,1.0
919,2685484,101,1.0
920,2685507,70,1.0
921,2685524,96,1.0
922,2685527,66,1.0
923,2685542,65,1.0
925,2685552,100,1.0
927,2685580,92,1.0
928,2685601,29,1.0
929,2685608,19,1.0
930,2685611,28,1.0
932,2685648,73,1.0
933,2685654,71,1.0
934,2685663,33,0.71000000109401
938,2685721,29,1.0
939,2685776,85,1.0
940,2685783,34,1.0
941,2685796,101,1.0
942,2686157,92,1.0
943,2686170,32,1.0
944,2686212,99,1.0
945,2686231,75,1.0
947,2686270,96,1.0
948,2686273,48,1.0
949,2686276,71,1.0
951,2687182,91,1.0
952,2687186,80,1.0
953,2687201,85,1.0
954,2687210,101,1.0
955,2687216,23,1.0
957,2687245,97,1.0
958,2687255,95,1.0
959,2687259,16,0.76
960,2687265,87,1.0
961,2687271,18,1.0
962,2687286,31,1.0
963,2687296,66,1.0
964,2687298,79,1.0
965,2687301,67,1.0
966,2687628,22,1.0
967,2687632,86,1.0
968,2687644,93,1.0
969,2687646,96,1.0
970,2687649,13,1.0
972,2687701,31,1.0
973,2687707,19,1.0
974,2687717,98,1.0
975,2687726,21,1.0
976,2687731,70,1.0
977,2687771,12,1.0
978,2687779,95,1.0
979,2687808,16,1.0
980,2687809,16,1.0
981,2687843,14,1.0
982,2687859,84,1.0
983,2687870,89,1.0
984,2687875,13,0.7
985,2687885,101,1.0
986,2687915,94,1.0
987,2687927,100,1.0
988,2687928,59,1.0
989,2687929,101,1.0
990,2687932,101,1.0
991,2687935,43,1.0
992,2687937,101,1.0
993,2687940,101,1.0
994,2687942,101,1.0
995,2687943,101,1.0
996,2687948,99,1.0
